品目コード,品目名,仕入先名,荷姿名,発効日,有効日,単価,通貨,備考
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2022/09/01,2023/02/20,497,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2022/06/09,2022/08/31,455,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2022/05/01,2022/06/08,443,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2021/10/01,2022/04/30,394,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2021/07/01,2021/09/30,369,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2020/08/01,2021/06/30,361,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2020/01/01,2020/07/31,364,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2019/06/06,2019/12/31,365,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2019/03/13,2019/06/05,356,JPY,
1203010160,WK-680RIP 965,三菱王子紙販売株式会社,8000m/巻,2023/11/01,無期限,19.56,JPY,
1203010160,WK-680RIP 965,三菱王子紙販売株式会社,8000m/巻,2022/04/01,2022/10/31,16.3,JPY,
1203010160,WK-680RIP 965,三菱王子紙販売株式会社,8000m/巻,2021/06/01,2022/03/31,15.17,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2024/09/30,無期限,985,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2024/02/01,2024/09/29,945,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2022/07/29,2024/01/31,951,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2022/04/01,2022/07/28,912,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2022/02/01,2022/03/31,877,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2021/08/17,2022/01/31,827,JPY,
0401010110,アデカスタブ AC-238,ADEKAケミカルサプライ株式会社,18kg缶,2020/01/07,2021/08/16,797,JPY,
