文書番号,品名,分類番号（大分類）,分類番号（中分類）,分類番号（小分類）,分類番号（商標）,運送経路,所要時間,運送会社,輸送距離,成分1,成分1_含有量,成分2,成分2_含有量,成分3,成分3_含有量,成分4,成分4_含有量,成分5,成分5_含有量,成分6,成分6_含有量,成分7,成分7_含有量,成分8,成分8_含有量,成分9,成分9_含有量,成分10,成分10_含有量,材料1,材料1_含有量,材料2,材料2_含有量,材料3,材料3_含有量,材料4,材料4_含有量,材料5,材料5_含有量,材料6,材料6_含有量,材料7,材料7_含有量,材料8,材料8_含有量,材料9,材料9_含有量,材料10,材料10_含有量,元価格,改定後の価格,改定時期,改定理由,［成分1］市況単価,［成分2］市況単価,［成分3］市況単価,［成分4］市況単価,［成分1］市況情報,［成分2］市況情報,［成分3］市況情報,［成分4］市況情報,燃動力1,［燃動力1］市況情報,［燃動力1］単価,燃動力2,［燃動力2］市況情報,［燃動力2］単価,燃動力3,［燃動力3］市況情報,［燃動力3］単価,燃動力4,［燃動力4］市況情報,［燃動力4］単価,労務費（時間当り）,［労務費］市況情報,［運賃］円/m
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,945,985,2024/09/30,,625.0,275.0,375.0,187.5,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,951,945,2024/02/01,,625.0,275.0,375.0,187.5,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,912,951,2022/07/29,,575.0,253.0,345.0,172.5,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,877,912,2022/04/01,,575.0,253.0,345.0,172.5,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,827,877,2022/02/01,,575.0,253.0,345.0,172.5,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,797,827,2021/08/17,,525.0,231.0,315.0,157.5,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
0401010110,アデカスタブ AC-238,04,01,01,011,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,,,,,,,,,,,,,,,,,,,,,,,,,,797,2020/01/07,,500.0,220.0,300.0,150.0,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,856,947,2024/09/30,,625.0,250.0,250.0,100.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,803,913,2022/07/29,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,778,813,2022/04/01,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
